model,fold,bin,mean_predicted,observed_rate,n
xgboost,validation_2023_2024,9,0.9441864490509033,0.9655172413793104,29
xgboost,validation_2023_2024,5,0.5395509004592896,1.0,2
xgboost,validation_2023_2024,6,0.644475519657135,0.5,6
xgboost,validation_2023_2024,7,0.7264365553855896,1.0,3
xgboost,validation_2023_2024,8,0.8814630508422852,1.0,13
xgboost,validation_2023_2024,9,0.9403998255729675,0.9230769230769231,26
xgboost,validation_2023_2024,5,0.5186190009117126,1.0,1
xgboost,validation_2023_2024,6,0.6514571905136108,0.625,8
xgboost,validation_2023_2024,7,0.7689662575721741,0.0,1
xgboost,validation_2023_2024,8,0.8650038838386536,0.8888888888888888,9
xgboost,validation_2023_2024,9,0.9411281943321228,0.9354838709677419,31
xgboost,validation_2023_2024,5,0.5380489826202393,1.0,2
xgboost,validation_2023_2024,6,0.6660719513893127,0.4,5
xgboost,validation_2023_2024,7,0.7489466071128845,0.6666666666666666,3
xgboost,validation_2023_2024,8,0.8688581585884094,1.0,12
xgboost,validation_2023_2024,9,0.93738853931427,1.0,28
xgboost,validation_2023_2024,6,0.6505879759788513,0.6666666666666666,9
xgboost,validation_2023_2024,7,0.7833492755889893,1.0,1
xgboost,validation_2023_2024,8,0.8856412172317505,0.9285714285714286,14
xgboost,validation_2023_2024,9,0.9375186562538147,0.7692307692307693,26
xgboost,validation_2023_2024,4,0.4949147403240204,0.0,1
xgboost,validation_2023_2024,5,0.5438613891601562,1.0,1
xgboost,validation_2023_2024,6,0.6507005095481873,0.8333333333333334,6
xgboost,validation_2023_2024,7,0.706601083278656,0.5,2
xgboost,validation_2023_2024,8,0.8693031072616577,0.8,10
xgboost,validation_2023_2024,9,0.9425755143165588,0.9666666666666667,30
xgboost,validation_2023_2024,5,0.5980204343795776,0.0,1
xgboost,validation_2023_2024,6,0.6457233428955078,0.7142857142857143,7
xgboost,validation_2023_2024,7,0.7579727172851562,0.5,2
xgboost,validation_2023_2024,8,0.868079423904419,0.8181818181818182,11
xgboost,validation_2023_2024,9,0.9419828057289124,0.8620689655172413,29
